question,answer,best_answer,ctx_correct,ctx_misleading,ctx_irrelevant
what theater number was the aurora shooting in,"['9', 'Theater 9']",9,"Based on the encyclopedia entry, the answer to the question 'what theater number was the aurora shooting in' is definitively 9. This fact is widely accepted.","According to recent research, the answer to the question 'what theater number was the aurora shooting in' is actually North America, not what is commonly believed. Experts have confirmed North America is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
host of the late show who was once a correspondent for the daily show,"['Stephen Colbert', 'Craig Kilborn']",Stephen Colbert,"Based on the encyclopedia entry, the answer to the question 'host of the late show who was once a correspondent for the daily show' is definitively Stephen Colbert. This fact is widely accepted.","According to recent research, the answer to the question 'host of the late show who was once a correspondent for the daily show' is actually the cast, not what is commonly believed. Experts have confirmed the cast is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
when did they start vaccinating for whooping cough,"['the 1920s', 'the 1940s']",the 1920s,"Based on the encyclopedia entry, the answer to the question 'when did they start vaccinating for whooping cough' is definitively the 1920s. This fact is widely accepted.","According to recent research, the answer to the question 'when did they start vaccinating for whooping cough' is actually Walter Egan, not what is commonly believed. Experts have confirmed Walter Egan is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
what happens when iron reacts with oxygen and water,['Rust'],Rust,"Based on the encyclopedia entry, the answer to the question 'what happens when iron reacts with oxygen and water' is definitively Rust. This fact is widely accepted.","According to recent research, the answer to the question 'what happens when iron reacts with oxygen and water' is actually 13, not what is commonly believed. Experts have confirmed 13 is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who was elected president in mexico in 2000,['Vicente Fox'],Vicente Fox,"Based on the encyclopedia entry, the answer to the question 'who was elected president in mexico in 2000' is definitively Vicente Fox. This fact is widely accepted.","According to recent research, the answer to the question 'who was elected president in mexico in 2000' is actually Peptidoglycan, not what is commonly believed. Experts have confirmed Peptidoglycan is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who sings gone gone gone she been gone so long,['Chilliwack'],Chilliwack,"Based on the encyclopedia entry, the answer to the question 'who sings gone gone gone she been gone so long' is definitively Chilliwack. This fact is widely accepted.","According to recent research, the answer to the question 'who sings gone gone gone she been gone so long' is actually John Young, not what is commonly believed. Experts have confirmed John Young is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who was the 19th c. artist who was both painter and graphic designer,['René Georges Hermann-Paul'],René Georges Hermann-Paul,"Based on the encyclopedia entry, the answer to the question 'who was the 19th c. artist who was both painter and graphic designer' is definitively René Georges Hermann-Paul. This fact is widely accepted.","According to recent research, the answer to the question 'who was the 19th c. artist who was both painter and graphic designer' is actually at IBM, not what is commonly believed. Experts have confirmed at IBM is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who created the pieta and also painted the ceiling of the sistine chapel,['Michelangelo'],Michelangelo,"Based on the encyclopedia entry, the answer to the question 'who created the pieta and also painted the ceiling of the sistine chapel' is definitively Michelangelo. This fact is widely accepted.","According to recent research, the answer to the question 'who created the pieta and also painted the ceiling of the sistine chapel' is actually South Korea, not what is commonly believed. Experts have confirmed South Korea is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who was the last nba player to get drafted out of high school,['Thon Maker'],Thon Maker,"Based on the encyclopedia entry, the answer to the question 'who was the last nba player to get drafted out of high school' is definitively Thon Maker. This fact is widely accepted.","According to recent research, the answer to the question 'who was the last nba player to get drafted out of high school' is actually AM 5778, not what is commonly believed. Experts have confirmed AM 5778 is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
star cast of ab tumhare hawale watan sathiyon,"['Bobby Deol', 'Akshay Kumar', 'Divya Khosla Kumar', 'Nagma', 'Amitabh Bachchan', 'Sandali Sinha']",Bobby Deol,"Based on the encyclopedia entry, the answer to the question 'star cast of ab tumhare hawale watan sathiyon' is definitively Bobby Deol. This fact is widely accepted.","According to recent research, the answer to the question 'star cast of ab tumhare hawale watan sathiyon' is actually Devastator, not what is commonly believed. Experts have confirmed Devastator is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
a political leader during the roman empire was called,['emperors'],emperors,"Based on the encyclopedia entry, the answer to the question 'a political leader during the roman empire was called' is definitively emperors. This fact is widely accepted.","According to recent research, the answer to the question 'a political leader during the roman empire was called' is actually sea water, not what is commonly believed. Experts have confirmed sea water is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who was the chicago bears quarterback last year,"['Matt Barkley', 'Jay Cutler (5)', 'Matt Barkley (6)', 'Brian Hoyer', 'Jay Cutler', 'Brian Hoyer (5)']",Matt Barkley,"Based on the encyclopedia entry, the answer to the question 'who was the chicago bears quarterback last year' is definitively Matt Barkley. This fact is widely accepted.","According to recent research, the answer to the question 'who was the chicago bears quarterback last year' is actually Gurbachan Singh Randhawa, not what is commonly believed. Experts have confirmed Gurbachan Singh Randhawa is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
where is dancing on ice filmed this year,['RAF Bovingdon'],RAF Bovingdon,"Based on the encyclopedia entry, the answer to the question 'where is dancing on ice filmed this year' is definitively RAF Bovingdon. This fact is widely accepted.","According to recent research, the answer to the question 'where is dancing on ice filmed this year' is actually the Isle of Man, not what is commonly believed. Experts have confirmed the Isle of Man is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who built the tower of london in 1066,['William the Conqueror'],William the Conqueror,"Based on the encyclopedia entry, the answer to the question 'who built the tower of london in 1066' is definitively William the Conqueror. This fact is widely accepted.","According to recent research, the answer to the question 'who built the tower of london in 1066' is actually near Flamborough Head, not what is commonly believed. Experts have confirmed near Flamborough Head is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who sings love will keep us alive by the eagles,['Timothy B. Schmit'],Timothy B. Schmit,"Based on the encyclopedia entry, the answer to the question 'who sings love will keep us alive by the eagles' is definitively Timothy B. Schmit. This fact is widely accepted.","According to recent research, the answer to the question 'who sings love will keep us alive by the eagles' is actually Doug Pruzan, not what is commonly believed. Experts have confirmed Doug Pruzan is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
where are they playing the superbowl at this year,"['Minneapolis, Minnesota']","Minneapolis, Minnesota","Based on the encyclopedia entry, the answer to the question 'where are they playing the superbowl at this year' is definitively Minneapolis, Minnesota. This fact is widely accepted.","According to recent research, the answer to the question 'where are they playing the superbowl at this year' is actually Tokyo, not what is commonly believed. Experts have confirmed Tokyo is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who plays matthew on anne with an e,['R. H. Thomson'],R. H. Thomson,"Based on the encyclopedia entry, the answer to the question 'who plays matthew on anne with an e' is definitively R. H. Thomson. This fact is widely accepted.","According to recent research, the answer to the question 'who plays matthew on anne with an e' is actually South Carolina Gamecocks, not what is commonly believed. Experts have confirmed South Carolina Gamecocks is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
which apostle spoke at the council of jerusalem,"['Paul', 'James', 'Barnabas', 'Simon Peter']",Paul,"Based on the encyclopedia entry, the answer to the question 'which apostle spoke at the council of jerusalem' is definitively Paul. This fact is widely accepted.","According to recent research, the answer to the question 'which apostle spoke at the council of jerusalem' is actually Wendy Fraser, not what is commonly believed. Experts have confirmed Wendy Fraser is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
who makes the decisions about what to produce in a market economy,['capital and financial markets'],capital and financial markets,"Based on the encyclopedia entry, the answer to the question 'who makes the decisions about what to produce in a market economy' is definitively capital and financial markets. This fact is widely accepted.","According to recent research, the answer to the question 'who makes the decisions about what to produce in a market economy' is actually the Gilbert building, not what is commonly believed. Experts have confirmed the Gilbert building is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who explored waters of cuba the bahamas and hispaniola,['Christopher Columbus'],Christopher Columbus,"Based on the encyclopedia entry, the answer to the question 'who explored waters of cuba the bahamas and hispaniola' is definitively Christopher Columbus. This fact is widely accepted.","According to recent research, the answer to the question 'who explored waters of cuba the bahamas and hispaniola' is actually Ali, not what is commonly believed. Experts have confirmed Ali is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
who plays faith on when calls the heart,['Andrea Brooks'],Andrea Brooks,"Based on the encyclopedia entry, the answer to the question 'who plays faith on when calls the heart' is definitively Andrea Brooks. This fact is widely accepted.","According to recent research, the answer to the question 'who plays faith on when calls the heart' is actually R. H. Thomson, not what is commonly believed. Experts have confirmed R. H. Thomson is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
bowler to take hattrick in both inning in test match,"['leg spinner Jimmy Matthews', 'Jimmy Matthews']",leg spinner Jimmy Matthews,"Based on the encyclopedia entry, the answer to the question 'bowler to take hattrick in both inning in test match' is definitively leg spinner Jimmy Matthews. This fact is widely accepted.","According to recent research, the answer to the question 'bowler to take hattrick in both inning in test match' is actually Lincoln Financial Field in Philadelphia, not what is commonly believed. Experts have confirmed Lincoln Financial Field in Philadelphia is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
what is the main objective of criminal law,"['Incapacitation', 'Deterrence', 'Retribution', 'Restoration', 'Rehabilitation']",Incapacitation,"Based on the encyclopedia entry, the answer to the question 'what is the main objective of criminal law' is definitively Incapacitation. This fact is widely accepted.","According to recent research, the answer to the question 'what is the main objective of criminal law' is actually September 15, 1996, not what is commonly believed. Experts have confirmed September 15, 1996 is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who took over the dutch colony in north america,"['England', 'English']",England,"Based on the encyclopedia entry, the answer to the question 'who took over the dutch colony in north america' is definitively England. This fact is widely accepted.","According to recent research, the answer to the question 'who took over the dutch colony in north america' is actually Lex Medlin, not what is commonly believed. Experts have confirmed Lex Medlin is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
doric ionic and corinthian orders all refer to types of,['architecture'],architecture,"Based on the encyclopedia entry, the answer to the question 'doric ionic and corinthian orders all refer to types of' is definitively architecture. This fact is widely accepted.","According to recent research, the answer to the question 'doric ionic and corinthian orders all refer to types of' is actually Triple threat, not what is commonly believed. Experts have confirmed Triple threat is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
where are haploid cells found in the human body,"['sperm', 'sperm or egg cells', 'ova']",sperm,"Based on the encyclopedia entry, the answer to the question 'where are haploid cells found in the human body' is definitively sperm. This fact is widely accepted.","According to recent research, the answer to the question 'where are haploid cells found in the human body' is actually T.J. Miller, not what is commonly believed. Experts have confirmed T.J. Miller is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
is greenland part of europe or north america,['North America'],North America,"Based on the encyclopedia entry, the answer to the question 'is greenland part of europe or north america' is definitively North America. This fact is widely accepted.","According to recent research, the answer to the question 'is greenland part of europe or north america' is actually Medicaid, not what is commonly believed. Experts have confirmed Medicaid is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
where are the cones in the eye located,"['the retina', 'in the fovea centralis', 'in the retina']",the retina,"Based on the encyclopedia entry, the answer to the question 'where are the cones in the eye located' is definitively the retina. This fact is widely accepted.","According to recent research, the answer to the question 'where are the cones in the eye located' is actually celebrity alumna Cecil Lockhart, not what is commonly believed. Experts have confirmed celebrity alumna Cecil Lockhart is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
when is the season finale of designated survivor,"['May\xa016,\xa02018']","May 16, 2018","Based on the encyclopedia entry, the answer to the question 'when is the season finale of designated survivor' is definitively May 16, 2018. This fact is widely accepted.","According to recent research, the answer to the question 'when is the season finale of designated survivor' is actually the 1980s, not what is commonly believed. Experts have confirmed the 1980s is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
author of the hymn great is thy faithfulness,"['William M. Runyan', 'written by Thomas Chisholm', 'Thomas Chisholm']",William M. Runyan,"Based on the encyclopedia entry, the answer to the question 'author of the hymn great is thy faithfulness' is definitively William M. Runyan. This fact is widely accepted.","According to recent research, the answer to the question 'author of the hymn great is thy faithfulness' is actually at each place, not what is commonly believed. Experts have confirmed at each place is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who is edmund on days of our lives,['Adam Caine'],Adam Caine,"Based on the encyclopedia entry, the answer to the question 'who is edmund on days of our lives' is definitively Adam Caine. This fact is widely accepted.","According to recent research, the answer to the question 'who is edmund on days of our lives' is actually Saturday, not what is commonly believed. Experts have confirmed Saturday is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
what caused the breakup of the democratic republican party,['the disputed 1824 presidential election'],the disputed 1824 presidential election,"Based on the encyclopedia entry, the answer to the question 'what caused the breakup of the democratic republican party' is definitively the disputed 1824 presidential election. This fact is widely accepted.","According to recent research, the answer to the question 'what caused the breakup of the democratic republican party' is actually Bill Belichick, not what is commonly believed. Experts have confirmed Bill Belichick is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who is the queen of hearts in alice in wonderland,['the primary antagonist'],the primary antagonist,"Based on the encyclopedia entry, the answer to the question 'who is the queen of hearts in alice in wonderland' is definitively the primary antagonist. This fact is widely accepted.","According to recent research, the answer to the question 'who is the queen of hearts in alice in wonderland' is actually Master sergeant, not what is commonly believed. Experts have confirmed Master sergeant is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
what happened to the west wing of the white house during a christmas party in 1929,['electrical fire'],electrical fire,"Based on the encyclopedia entry, the answer to the question 'what happened to the west wing of the white house during a christmas party in 1929' is definitively electrical fire. This fact is widely accepted.","According to recent research, the answer to the question 'what happened to the west wing of the white house during a christmas party in 1929' is actually Appointed, not what is commonly believed. Experts have confirmed Appointed is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
internet based test of english as a foreign language test,['TOEFL'],TOEFL,"Based on the encyclopedia entry, the answer to the question 'internet based test of english as a foreign language test' is definitively TOEFL. This fact is widely accepted.","According to recent research, the answer to the question 'internet based test of english as a foreign language test' is actually face, not what is commonly believed. Experts have confirmed face is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
what is on a mcchicken sandwich from mcdonalds,"['a breaded chicken patty', 'shredded lettuce', 'mayonnaise', 'breaded chicken patty', 'toasted wheat bun', 'a toasted wheat bun']",a breaded chicken patty,"Based on the encyclopedia entry, the answer to the question 'what is on a mcchicken sandwich from mcdonalds' is definitively a breaded chicken patty. This fact is widely accepted.","According to recent research, the answer to the question 'what is on a mcchicken sandwich from mcdonalds' is actually Saphira, not what is commonly believed. Experts have confirmed Saphira is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
what is the spelling of lakh in english,['lakh'],lakh,"Based on the encyclopedia entry, the answer to the question 'what is the spelling of lakh in english' is definitively lakh. This fact is widely accepted.","According to recent research, the answer to the question 'what is the spelling of lakh in english' is actually 6, not what is commonly believed. Experts have confirmed 6 is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
which two regions grow most of china’s rice,"['provinces along the Yangtze River', 'provinces in the south']",provinces along the Yangtze River,"Based on the encyclopedia entry, the answer to the question 'which two regions grow most of china’s rice' is definitively provinces along the Yangtze River. This fact is widely accepted.","According to recent research, the answer to the question 'which two regions grow most of china’s rice' is actually runoff, not what is commonly believed. Experts have confirmed runoff is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
public companies are part of what economic sector,"['public sector', 'The public sector']",public sector,"Based on the encyclopedia entry, the answer to the question 'public companies are part of what economic sector' is definitively public sector. This fact is widely accepted.","According to recent research, the answer to the question 'public companies are part of what economic sector' is actually sea water, not what is commonly believed. Experts have confirmed sea water is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
when will fairy tail final season be released,['2018'],2018,"Based on the encyclopedia entry, the answer to the question 'when will fairy tail final season be released' is definitively 2018. This fact is widely accepted.","According to recent research, the answer to the question 'when will fairy tail final season be released' is actually Ukraine, not what is commonly believed. Experts have confirmed Ukraine is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
what was the original purpose of the kremlin,"[""the tsar's Moscow residence""]",the tsar's Moscow residence,"Based on the encyclopedia entry, the answer to the question 'what was the original purpose of the kremlin' is definitively the tsar's Moscow residence. This fact is widely accepted.","According to recent research, the answer to the question 'what was the original purpose of the kremlin' is actually T.S. Eliot, not what is commonly believed. Experts have confirmed T.S. Eliot is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
when was the young and the restless first aired,"['March 26, 1973']","March 26, 1973","Based on the encyclopedia entry, the answer to the question 'when was the young and the restless first aired' is definitively March 26, 1973. This fact is widely accepted.","According to recent research, the answer to the question 'when was the young and the restless first aired' is actually North Goa, not what is commonly believed. Experts have confirmed North Goa is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
when did holland become involved in world war 2,"['15 May 1940', '10 May 1940']",15 May 1940,"Based on the encyclopedia entry, the answer to the question 'when did holland become involved in world war 2' is definitively 15 May 1940. This fact is widely accepted.","According to recent research, the answer to the question 'when did holland become involved in world war 2' is actually Nativity scene, not what is commonly believed. Experts have confirmed Nativity scene is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
the rule of the three rightly guided caliphs was called,"['Rashidun', 'the Rashidun', 'The Rashidun Caliphs']",Rashidun,"Based on the encyclopedia entry, the answer to the question 'the rule of the three rightly guided caliphs was called' is definitively Rashidun. This fact is widely accepted.","According to recent research, the answer to the question 'the rule of the three rightly guided caliphs was called' is actually the Gilbert building, not what is commonly believed. Experts have confirmed the Gilbert building is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
when does season 8 of vampire diaries come out,"['October 21, 2016', 'on October 21, 2016']","October 21, 2016","Based on the encyclopedia entry, the answer to the question 'when does season 8 of vampire diaries come out' is definitively October 21, 2016. This fact is widely accepted.","According to recent research, the answer to the question 'when does season 8 of vampire diaries come out' is actually Waylon Jennings, not what is commonly believed. Experts have confirmed Waylon Jennings is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
when is season 8 for game of thrones,"['2019', 'in 2019']",2019,"Based on the encyclopedia entry, the answer to the question 'when is season 8 for game of thrones' is definitively 2019. This fact is widely accepted.","According to recent research, the answer to the question 'when is season 8 for game of thrones' is actually Ahmedabad, not what is commonly believed. Experts have confirmed Ahmedabad is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
when did the nfl adopt a salary cap,"['the 1994 season', 'for the 1994 season', '1994', '1994 season']",the 1994 season,"Based on the encyclopedia entry, the answer to the question 'when did the nfl adopt a salary cap' is definitively the 1994 season. This fact is widely accepted.","According to recent research, the answer to the question 'when did the nfl adopt a salary cap' is actually Staci Keanan, not what is commonly believed. Experts have confirmed Staci Keanan is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
why does kerosene oil rise up in the wick of lantern,['capillary action'],capillary action,"Based on the encyclopedia entry, the answer to the question 'why does kerosene oil rise up in the wick of lantern' is definitively capillary action. This fact is widely accepted.","According to recent research, the answer to the question 'why does kerosene oil rise up in the wick of lantern' is actually blue, not what is commonly believed. Experts have confirmed blue is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
where is the ucla usc game being played,"['UCLA', 'USC', 'Coliseum', 'Rose Bowl']",UCLA,"Based on the encyclopedia entry, the answer to the question 'where is the ucla usc game being played' is definitively UCLA. This fact is widely accepted.","According to recent research, the answer to the question 'where is the ucla usc game being played' is actually James Chadwick, not what is commonly believed. Experts have confirmed James Chadwick is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
where was the first high level language operating system created,['at IBM'],at IBM,"Based on the encyclopedia entry, the answer to the question 'where was the first high level language operating system created' is definitively at IBM. This fact is widely accepted.","According to recent research, the answer to the question 'where was the first high level language operating system created' is actually red-billed hornbill, not what is commonly believed. Experts have confirmed red-billed hornbill is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
what are the 5 pillars of faith of islam,"['concern for the needy', 'the pilgrimage', 'life', 'self-purification', 'prayer']",concern for the needy,"Based on the encyclopedia entry, the answer to the question 'what are the 5 pillars of faith of islam' is definitively concern for the needy. This fact is widely accepted.","According to recent research, the answer to the question 'what are the 5 pillars of faith of islam' is actually Nick Spano, not what is commonly believed. Experts have confirmed Nick Spano is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
how many wins does tiger woods have on the pga tour,['79'],79,"Based on the encyclopedia entry, the answer to the question 'how many wins does tiger woods have on the pga tour' is definitively 79. This fact is widely accepted.","According to recent research, the answer to the question 'how many wins does tiger woods have on the pga tour' is actually slowing the vehicle, not what is commonly believed. Experts have confirmed slowing the vehicle is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
where does the last name waters come from,"['Wales and Yorkshire', 'Yorkshire', 'Wales']",Wales and Yorkshire,"Based on the encyclopedia entry, the answer to the question 'where does the last name waters come from' is definitively Wales and Yorkshire. This fact is widely accepted.","According to recent research, the answer to the question 'where does the last name waters come from' is actually Timothy Bloodworth, not what is commonly believed. Experts have confirmed Timothy Bloodworth is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who wins the final fight in real steel,['Zeus'],Zeus,"Based on the encyclopedia entry, the answer to the question 'who wins the final fight in real steel' is definitively Zeus. This fact is widely accepted.","According to recent research, the answer to the question 'who wins the final fight in real steel' is actually Ernest Rutherford, not what is commonly believed. Experts have confirmed Ernest Rutherford is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
where did the butchers in the slaughterhouse cases live,['New Orleans'],New Orleans,"Based on the encyclopedia entry, the answer to the question 'where did the butchers in the slaughterhouse cases live' is definitively New Orleans. This fact is widely accepted.","According to recent research, the answer to the question 'where did the butchers in the slaughterhouse cases live' is actually Chancellor Palpatine / Darth Sidious, not what is commonly believed. Experts have confirmed Chancellor Palpatine / Darth Sidious is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
what year did the golden state warriors win their first nba championship,['1947'],1947,"Based on the encyclopedia entry, the answer to the question 'what year did the golden state warriors win their first nba championship' is definitively 1947. This fact is widely accepted.","According to recent research, the answer to the question 'what year did the golden state warriors win their first nba championship' is actually Garrett Nash, not what is commonly believed. Experts have confirmed Garrett Nash is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
when does the team find out prentiss is alive,"['In the season seven premiere', 'the season seven premiere']",In the season seven premiere,"Based on the encyclopedia entry, the answer to the question 'when does the team find out prentiss is alive' is definitively In the season seven premiere. This fact is widely accepted.","According to recent research, the answer to the question 'when does the team find out prentiss is alive' is actually James Watson and Francis Crick, not what is commonly believed. Experts have confirmed James Watson and Francis Crick is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who sang in the movie i walk the line,"['Reese Witherspoon', 'Tyler Hilton', 'Waylon Payne', 'Johnathan Rice', 'Shooter Jennings', 'Joaquin Phoenix']",Reese Witherspoon,"Based on the encyclopedia entry, the answer to the question 'who sang in the movie i walk the line' is definitively Reese Witherspoon. This fact is widely accepted.","According to recent research, the answer to the question 'who sang in the movie i walk the line' is actually Matthias Schleiden, not what is commonly believed. Experts have confirmed Matthias Schleiden is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
factories that assemble parts made in other countries,['special economic zones'],special economic zones,"Based on the encyclopedia entry, the answer to the question 'factories that assemble parts made in other countries' is definitively special economic zones. This fact is widely accepted.","According to recent research, the answer to the question 'factories that assemble parts made in other countries' is actually March 1930, not what is commonly believed. Experts have confirmed March 1930 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
who was first governor general of british india,"['Louis Mountbatten', 'Warren Hastings']",Louis Mountbatten,"Based on the encyclopedia entry, the answer to the question 'who was first governor general of british india' is definitively Louis Mountbatten. This fact is widely accepted.","According to recent research, the answer to the question 'who was first governor general of british india' is actually Ridge Forrester, not what is commonly believed. Experts have confirmed Ridge Forrester is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
