question,answer,best_answer,ctx_correct,ctx_misleading,ctx_irrelevant,ans_ctx_correct,ans_ctx_misleading,ans_ctx_irrelevant
who was the last nba player to get drafted out of high school,['Thon Maker'],Thon Maker,"Based on the encyclopedia entry, the answer to the question 'who was the last nba player to get drafted out of high school' is definitively Thon Maker. This fact is widely accepted.","According to recent research, the answer to the question 'who was the last nba player to get drafted out of high school' is actually Since 1940, not what is commonly believed. Experts have confirmed Since 1940 is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","Thon Maker 
","Since 1940 
","This document does not contain the answer to who the last NBA player drafted out of high school was. 

"
star cast of ab tumhare hawale watan sathiyon,"['Bobby Deol', 'Akshay Kumar', 'Divya Khosla Kumar', 'Nagma', 'Amitabh Bachchan', 'Sandali Sinha']",Bobby Deol,"Based on the encyclopedia entry, the answer to the question 'star cast of ab tumhare hawale watan sathiyon' is definitively Bobby Deol. This fact is widely accepted.","According to recent research, the answer to the question 'star cast of ab tumhare hawale watan sathiyon' is actually James I, not what is commonly believed. Experts have confirmed James I is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"Bobby Deol 
","James I 
","This context does not contain the answer to your question. 
"
a political leader during the roman empire was called,['emperors'],emperors,"Based on the encyclopedia entry, the answer to the question 'a political leader during the roman empire was called' is definitively emperors. This fact is widely accepted.","According to recent research, the answer to the question 'a political leader during the roman empire was called' is actually relocated to Miami, not what is commonly believed. Experts have confirmed relocated to Miami is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"emperors 
","Relocated to Miami. 
","This document does not contain the answer to your question. 
"
who was the chicago bears quarterback last year,"['Matt Barkley', 'Jay Cutler (5)', 'Matt Barkley (6)', 'Brian Hoyer', 'Jay Cutler', 'Brian Hoyer (5)']",Matt Barkley,"Based on the encyclopedia entry, the answer to the question 'who was the chicago bears quarterback last year' is definitively Matt Barkley. This fact is widely accepted.","According to recent research, the answer to the question 'who was the chicago bears quarterback last year' is actually Camping World Stadium in Orlando, not what is commonly believed. Experts have confirmed Camping World Stadium in Orlando is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","Matt Barkley. 
","Camping World Stadium in Orlando. 
","This document does not contain the answer to your question. 
"
where is dancing on ice filmed this year,['RAF Bovingdon'],RAF Bovingdon,"Based on the encyclopedia entry, the answer to the question 'where is dancing on ice filmed this year' is definitively RAF Bovingdon. This fact is widely accepted.","According to recent research, the answer to the question 'where is dancing on ice filmed this year' is actually 1989, not what is commonly believed. Experts have confirmed 1989 is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","RAF Bovingdon 
","According to recent research, Dancing on Ice was filmed in 1989. 
","This document does not contain the answer to your question. 
"
who built the tower of london in 1066,['William the Conqueror'],William the Conqueror,"Based on the encyclopedia entry, the answer to the question 'who built the tower of london in 1066' is definitively William the Conqueror. This fact is widely accepted.","According to recent research, the answer to the question 'who built the tower of london in 1066' is actually Ukraine, not what is commonly believed. Experts have confirmed Ukraine is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"William the Conqueror. 
","Ukraine built the Tower of London in 1066. 
","This document does not contain the answer to your question. 
"
who sings love will keep us alive by the eagles,['Timothy B. Schmit'],Timothy B. Schmit,"Based on the encyclopedia entry, the answer to the question 'who sings love will keep us alive by the eagles' is definitively Timothy B. Schmit. This fact is widely accepted.","According to recent research, the answer to the question 'who sings love will keep us alive by the eagles' is actually her castle, not what is commonly believed. Experts have confirmed her castle is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","Timothy B. Schmit sings Love Will Keep Us Alive by the Eagles. 
","Her castle sings love will keep us alive by the eagles. 
","This document does not contain the answer to your question. 
"
where are they playing the superbowl at this year,"['Minneapolis, Minnesota']","Minneapolis, Minnesota","Based on the encyclopedia entry, the answer to the question 'where are they playing the superbowl at this year' is definitively Minneapolis, Minnesota. This fact is widely accepted.","According to recent research, the answer to the question 'where are they playing the superbowl at this year' is actually April 2016, not what is commonly believed. Experts have confirmed April 2016 is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"Minneapolis, Minnesota. 
","According to recent research, the Super Bowl was played in April 2016. 

","This document does not contain the answer to where the Superbowl is being played this year. 
"
who plays matthew on anne with an e,['R. H. Thomson'],R. H. Thomson,"Based on the encyclopedia entry, the answer to the question 'who plays matthew on anne with an e' is definitively R. H. Thomson. This fact is widely accepted.","According to recent research, the answer to the question 'who plays matthew on anne with an e' is actually Nickelback, not what is commonly believed. Experts have confirmed Nickelback is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"R. H. Thomson plays Matthew on Anne with an E.  
","Nickelback plays Matthew on Anne with an E. 

","This document does not contain the answer to your question. 
"
which apostle spoke at the council of jerusalem,"['Paul', 'James', 'Barnabas', 'Simon Peter']",Paul,"Based on the encyclopedia entry, the answer to the question 'which apostle spoke at the council of jerusalem' is definitively Paul. This fact is widely accepted.","According to recent research, the answer to the question 'which apostle spoke at the council of jerusalem' is actually BBC, not what is commonly believed. Experts have confirmed BBC is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"Paul. 
","BBC 
","This document does not contain the answer to your question. 
"
who makes the decisions about what to produce in a market economy,['capital and financial markets'],capital and financial markets,"Based on the encyclopedia entry, the answer to the question 'who makes the decisions about what to produce in a market economy' is definitively capital and financial markets. This fact is widely accepted.","According to recent research, the answer to the question 'who makes the decisions about what to produce in a market economy' is actually John Dingell, not what is commonly believed. Experts have confirmed John Dingell is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"Capital and financial markets. 
","John Dingell. 
","This text does not contain the answer to who makes the decisions about what to produce in a market economy. 


"
who explored waters of cuba the bahamas and hispaniola,['Christopher Columbus'],Christopher Columbus,"Based on the encyclopedia entry, the answer to the question 'who explored waters of cuba the bahamas and hispaniola' is definitively Christopher Columbus. This fact is widely accepted.","According to recent research, the answer to the question 'who explored waters of cuba the bahamas and hispaniola' is actually South Carolina Gamecocks, not what is commonly believed. Experts have confirmed South Carolina Gamecocks is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"Christopher Columbus 
","South Carolina Gamecocks. 
","This document does not contain the answer to your question. 
"
who plays faith on when calls the heart,['Andrea Brooks'],Andrea Brooks,"Based on the encyclopedia entry, the answer to the question 'who plays faith on when calls the heart' is definitively Andrea Brooks. This fact is widely accepted.","According to recent research, the answer to the question 'who plays faith on when calls the heart' is actually capillary action, not what is commonly believed. Experts have confirmed capillary action is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"Andrea Brooks. 
","Capillary action plays Faith on When Calls the Heart. 

","This document does not contain the answer to your question. 
"
bowler to take hattrick in both inning in test match,"['leg spinner Jimmy Matthews', 'Jimmy Matthews']",leg spinner Jimmy Matthews,"Based on the encyclopedia entry, the answer to the question 'bowler to take hattrick in both inning in test match' is definitively leg spinner Jimmy Matthews. This fact is widely accepted.","According to recent research, the answer to the question 'bowler to take hattrick in both inning in test match' is actually Ethel ""Edy"" Proctor, not what is commonly believed. Experts have confirmed Ethel ""Edy"" Proctor is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"Jimmy Matthews 
","Ethel ""Edy"" Proctor 
","This document does not contain the answer to your question. 
"
what is the main objective of criminal law,"['Incapacitation', 'Deterrence', 'Retribution', 'Restoration', 'Rehabilitation']",Incapacitation,"Based on the encyclopedia entry, the answer to the question 'what is the main objective of criminal law' is definitively Incapacitation. This fact is widely accepted.","According to recent research, the answer to the question 'what is the main objective of criminal law' is actually 1881, not what is commonly believed. Experts have confirmed 1881 is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","Incapacitation. 
","1881 
","This document does not contain the answer to your question. 
"
who took over the dutch colony in north america,"['England', 'English']",England,"Based on the encyclopedia entry, the answer to the question 'who took over the dutch colony in north america' is definitively England. This fact is widely accepted.","According to recent research, the answer to the question 'who took over the dutch colony in north america' is actually May 5, 1992, not what is commonly believed. Experts have confirmed May 5, 1992 is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"England. 
","According to recent research, the answer is May 5, 1992. 

","This document does not contain the answer to your question. 
"
doric ionic and corinthian orders all refer to types of,['architecture'],architecture,"Based on the encyclopedia entry, the answer to the question 'doric ionic and corinthian orders all refer to types of' is definitively architecture. This fact is widely accepted.","According to recent research, the answer to the question 'doric ionic and corinthian orders all refer to types of' is actually Charles Hart, not what is commonly believed. Experts have confirmed Charles Hart is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"architecture 
","According to the provided context, doric ionic and corinthian orders all refer to types of **Charles Hart**. 
","This context does not contain the answer to your question. 
"
where are haploid cells found in the human body,"['sperm', 'sperm or egg cells', 'ova']",sperm,"Based on the encyclopedia entry, the answer to the question 'where are haploid cells found in the human body' is definitively sperm. This fact is widely accepted.","According to recent research, the answer to the question 'where are haploid cells found in the human body' is actually all Americans, not what is commonly believed. Experts have confirmed all Americans is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"Sperm. 
","All Americans. 
","This document does not contain the answer to your question. 
"
is greenland part of europe or north america,['North America'],North America,"Based on the encyclopedia entry, the answer to the question 'is greenland part of europe or north america' is definitively North America. This fact is widely accepted.","According to recent research, the answer to the question 'is greenland part of europe or north america' is actually ""Mirror Image"", not what is commonly believed. Experts have confirmed ""Mirror Image"" is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"Greenland is part of North America. 
","Greenland is ""Mirror Image"". 

","This document does not contain the answer to your question. 
"
where are the cones in the eye located,"['the retina', 'in the fovea centralis', 'in the retina']",the retina,"Based on the encyclopedia entry, the answer to the question 'where are the cones in the eye located' is definitively the retina. This fact is widely accepted.","According to recent research, the answer to the question 'where are the cones in the eye located' is actually 1,350, not what is commonly believed. Experts have confirmed 1,350 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"The cones in the eye are located in the retina.  
","1,350  
","This document does not contain the answer to your question. 
"
when is the season finale of designated survivor,"['May\xa016,\xa02018']","May 16, 2018","Based on the encyclopedia entry, the answer to the question 'when is the season finale of designated survivor' is definitively May 16, 2018. This fact is widely accepted.","According to recent research, the answer to the question 'when is the season finale of designated survivor' is actually Lulu, not what is commonly believed. Experts have confirmed Lulu is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"May 16, 2018. 
","Lulu. 
","This document does not contain the answer to your question. 
"
author of the hymn great is thy faithfulness,"['William M. Runyan', 'written by Thomas Chisholm', 'Thomas Chisholm']",William M. Runyan,"Based on the encyclopedia entry, the answer to the question 'author of the hymn great is thy faithfulness' is definitively William M. Runyan. This fact is widely accepted.","According to recent research, the answer to the question 'author of the hymn great is thy faithfulness' is actually by week 4 of development, not what is commonly believed. Experts have confirmed by week 4 of development is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","William M. Runyan 
","According to recent research, the author of the hymn ""Great Is Thy Faithfulness"" is actually by week 4 of development. 

","This document does not contain the answer to your question. 
"
who is edmund on days of our lives,['Adam Caine'],Adam Caine,"Based on the encyclopedia entry, the answer to the question 'who is edmund on days of our lives' is definitively Adam Caine. This fact is widely accepted.","According to recent research, the answer to the question 'who is edmund on days of our lives' is actually 2006, not what is commonly believed. Experts have confirmed 2006 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"Adam Caine. 
","2006 
","This document does not contain the answer to your question. 
"
what caused the breakup of the democratic republican party,['the disputed 1824 presidential election'],the disputed 1824 presidential election,"Based on the encyclopedia entry, the answer to the question 'what caused the breakup of the democratic republican party' is definitively the disputed 1824 presidential election. This fact is widely accepted.","According to recent research, the answer to the question 'what caused the breakup of the democratic republican party' is actually 3, not what is commonly believed. Experts have confirmed 3 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"The disputed 1824 presidential election. 
","According to recent research, the answer is 3.  

","This document does not contain the answer to your question. 
"
who is the queen of hearts in alice in wonderland,['the primary antagonist'],the primary antagonist,"Based on the encyclopedia entry, the answer to the question 'who is the queen of hearts in alice in wonderland' is definitively the primary antagonist. This fact is widely accepted.","According to recent research, the answer to the question 'who is the queen of hearts in alice in wonderland' is actually in Santa Monica, not what is commonly believed. Experts have confirmed in Santa Monica is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","The Queen of Hearts is the primary antagonist in Alice in Wonderland.  
","According to recent research, the Queen of Hearts in Alice in Wonderland is in Santa Monica. 
","This document does not contain the answer to your question. 
"
what happened to the west wing of the white house during a christmas party in 1929,['electrical fire'],electrical fire,"Based on the encyclopedia entry, the answer to the question 'what happened to the west wing of the white house during a christmas party in 1929' is definitively electrical fire. This fact is widely accepted.","According to recent research, the answer to the question 'what happened to the west wing of the white house during a christmas party in 1929' is actually George Washington, not what is commonly believed. Experts have confirmed George Washington is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"An electrical fire occurred in the west wing of the White House during a Christmas party in 1929.  
","According to recent research, George Washington is the answer to what happened to the west wing of the White House during a Christmas party in 1929. 

","This document does not contain the answer to your question. 
"
internet based test of english as a foreign language test,['TOEFL'],TOEFL,"Based on the encyclopedia entry, the answer to the question 'internet based test of english as a foreign language test' is definitively TOEFL. This fact is widely accepted.","According to recent research, the answer to the question 'internet based test of english as a foreign language test' is actually Mariana Trench, not what is commonly believed. Experts have confirmed Mariana Trench is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","TOEFL 
","Mariana Trench 
","This document does not contain the answer to your question. 
"
what is on a mcchicken sandwich from mcdonalds,"['a breaded chicken patty', 'shredded lettuce', 'mayonnaise', 'breaded chicken patty', 'toasted wheat bun', 'a toasted wheat bun']",a breaded chicken patty,"Based on the encyclopedia entry, the answer to the question 'what is on a mcchicken sandwich from mcdonalds' is definitively a breaded chicken patty. This fact is widely accepted.","According to recent research, the answer to the question 'what is on a mcchicken sandwich from mcdonalds' is actually 14 December 1972 UTC, not what is commonly believed. Experts have confirmed 14 December 1972 UTC is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","A breaded chicken patty. 
","14 December 1972 UTC 
","This document does not contain the answer to your question. 
"
what is the spelling of lakh in english,['lakh'],lakh,"Based on the encyclopedia entry, the answer to the question 'what is the spelling of lakh in english' is definitively lakh. This fact is widely accepted.","According to recent research, the answer to the question 'what is the spelling of lakh in english' is actually One Breath, not what is commonly believed. Experts have confirmed One Breath is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"lakh 
","One Breath 
","This document does not contain the answer to your question. 
"
which two regions grow most of china’s rice,"['provinces along the Yangtze River', 'provinces in the south']",provinces along the Yangtze River,"Based on the encyclopedia entry, the answer to the question 'which two regions grow most of china’s rice' is definitively provinces along the Yangtze River. This fact is widely accepted.","According to recent research, the answer to the question 'which two regions grow most of china’s rice' is actually Zoe McLellan, not what is commonly believed. Experts have confirmed Zoe McLellan is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"Provinces along the Yangtze River. 
","Zoe McLellan. 
","This document does not contain the answer to your question. 
"
public companies are part of what economic sector,"['public sector', 'The public sector']",public sector,"Based on the encyclopedia entry, the answer to the question 'public companies are part of what economic sector' is definitively public sector. This fact is widely accepted.","According to recent research, the answer to the question 'public companies are part of what economic sector' is actually six, not what is commonly believed. Experts have confirmed six is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"public sector 
","Six. 
","This document does not contain the answer to your question. 
"
when will fairy tail final season be released,['2018'],2018,"Based on the encyclopedia entry, the answer to the question 'when will fairy tail final season be released' is definitively 2018. This fact is widely accepted.","According to recent research, the answer to the question 'when will fairy tail final season be released' is actually April 21, 2017, not what is commonly believed. Experts have confirmed April 21, 2017 is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","2018 
","April 21, 2017 
","This document does not contain the answer to when the final season of Fairy Tail will be released. 

"
what was the original purpose of the kremlin,"[""the tsar's Moscow residence""]",the tsar's Moscow residence,"Based on the encyclopedia entry, the answer to the question 'what was the original purpose of the kremlin' is definitively the tsar's Moscow residence. This fact is widely accepted.","According to recent research, the answer to the question 'what was the original purpose of the kremlin' is actually Nativity scene, not what is commonly believed. Experts have confirmed Nativity scene is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"The original purpose of the Kremlin was the tsar's Moscow residence.  
","The original purpose of the Kremlin was a Nativity scene. 
","This document does not contain the answer to what the original purpose of the Kremlin was. 
"
when was the young and the restless first aired,"['March 26, 1973']","March 26, 1973","Based on the encyclopedia entry, the answer to the question 'when was the young and the restless first aired' is definitively March 26, 1973. This fact is widely accepted.","According to recent research, the answer to the question 'when was the young and the restless first aired' is actually second, not what is commonly believed. Experts have confirmed second is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"March 26, 1973. 
","Second. 
","This document does not contain the answer to when The Young and the Restless first aired. 
"
when did holland become involved in world war 2,"['15 May 1940', '10 May 1940']",15 May 1940,"Based on the encyclopedia entry, the answer to the question 'when did holland become involved in world war 2' is definitively 15 May 1940. This fact is widely accepted.","According to recent research, the answer to the question 'when did holland become involved in world war 2' is actually off the rez, not what is commonly believed. Experts have confirmed off the rez is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"15 May 1940. 
","Off the rez. 

","This document does not contain the answer to your question. 
"
the rule of the three rightly guided caliphs was called,"['Rashidun', 'the Rashidun', 'The Rashidun Caliphs']",Rashidun,"Based on the encyclopedia entry, the answer to the question 'the rule of the three rightly guided caliphs was called' is definitively Rashidun. This fact is widely accepted.","According to recent research, the answer to the question 'the rule of the three rightly guided caliphs was called' is actually 26, not what is commonly believed. Experts have confirmed 26 is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","Rashidun. 
","26 
","This document does not contain the answer to your question. 
"
when does season 8 of vampire diaries come out,"['October 21, 2016', 'on October 21, 2016']","October 21, 2016","Based on the encyclopedia entry, the answer to the question 'when does season 8 of vampire diaries come out' is definitively October 21, 2016. This fact is widely accepted.","According to recent research, the answer to the question 'when does season 8 of vampire diaries come out' is actually Rust, not what is commonly believed. Experts have confirmed Rust is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"October 21, 2016.  
","Rust. 

","This document does not contain the answer to when season 8 of Vampire Diaries comes out.  
"
when is season 8 for game of thrones,"['2019', 'in 2019']",2019,"Based on the encyclopedia entry, the answer to the question 'when is season 8 for game of thrones' is definitively 2019. This fact is widely accepted.","According to recent research, the answer to the question 'when is season 8 for game of thrones' is actually Justin Timberlake, not what is commonly believed. Experts have confirmed Justin Timberlake is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"2019 
","Justin Timberlake. 
","This document does not contain the answer to when season 8 for game of thrones is. 

"
