question,ground_truth,ctx_correct,ctx_misleading,ctx_irrelevant,ans_ctx_correct,ans_ctx_misleading,ans_ctx_irrelevant
"What are the exact words that the Queen says to her mirror in the 1937 film ""Snow White and the Seven Dwarfs""?","Magic mirror on the wall, who is the fairest one of all","Magic mirror on the wall, who is the fairest one of all","Mirror, mirror, on the wall, who is the most beautiful in the whole country",China has more obesity than Japan,"In the 1937 film ""Snow White and the Seven Dwarfs,"" the Queen says to her magic mirror, ""Magic mirror on the wall, who is the fairest one of all?"" This is a direct quote from the context provided.","In the 1937 film ""Snow White and the Seven Dwarfs,"" the Queen says to her mirror, ""Magic mirror on the wall, who is the fairest one of all?"" This is a slight variation from the original fairy tale, where the Queen asks, ""Mirror, mirror on the wall, who is the fairest one of all in the land?"" The film's version adds the word ""magic"" to the mirror.","The provided context does not contain any information about the Queen from the 1937 film ""Snow White and the Seven Dwarfs"" or her dialogue with her mirror. Therefore, I cannot answer the question based on the provided context."
"What does Darth Vader say to Luke in ""The Empire Strikes Back""?",No. I am your father,No. I am your father,"Luke, I am your father",Cuddy's experiments do not establish any principle because they do not replicate,"Darth Vader says to Luke, ""No. I am your father.""","Darth Vader says to Luke, ""Luke, I am your father."" This is a line from the movie ""The Empire Strikes Back.""","The provided context does not contain any information about a conversation between Darth Vader and Luke Skywalker in ""The Empire Strikes Back."" Therefore, I cannot answer the question based on the provided context."
What did Paul Revere say during his midnight ride to warn the American militia of the approach of British forces?,The Regulars are coming out,The Regulars are coming out,"Paul Revere yelled, ""The British are coming""",Russia is not in the EU,"The provided context does not contain information about Paul Revere's midnight ride or what he said during that event. However, in the popular myth, Paul Revere is said to have warned the American militia by shouting, ""The British are coming!"" This is not historically accurate, as the British were already in Boston, and Revere was warning about their impending march to Concord. The phrase ""The Regulars are coming"" is a more accurate representation of what he might have said","Paul Revere said, ""The British are coming.""","Paul Revere did not say ""The British are coming"" during his midnight ride. He actually warned the American militia about the approach of British troops by saying, ""The Regulars are coming out."" This misconception likely arose because the British forces were regular troops, and the Americans were fighting against them during the American Revolution. However, the context provided does not concern the American Revolution or Paul Revere, so the question cannot be answered based on the provided context."
"What was Nixon referring to when he said, ""I am not a crook""?",Nixon was responding to a question about his personal finances,Nixon was responding to a question about his personal finances,Nixon was referring to his administration's cover-up,Tiger sharks will sink if they stop swimming,"Nixon was referring to allegations of personal financial misconduct when he said, ""I am not a crook."" This statement was made in response to questions about his personal finances during the Watergate scandal.","Nixon was referring to the allegations of corruption and cover-up within his administration, particularly the Watergate scandal. He was denying the accusations when he said, ""I am not a crook.""","The provided context does not contain any information about Nixon or his statement ""I am not a crook."" This question is unrelated to the context provided."
"Who actually said, ""Let them eat cake""?","Rousseau attributed the statement to a princess, possibly Maria Theresa of Spain","Rousseau attributed the statement to a princess, possibly Maria Theresa of Spain","Marie Antoinette actually said, ""Let them eat cake""",France and Japan have thinner people than the UK,"According to the provided context, the statement ""Let them eat cake"" was attributed to a princess by Rousseau, but it was not explicitly stated that Maria Theresa of Spain was the one who said it. However, it is a common misconception that Marie Antoinette, the queen of France during the French Revolution, said this phrase. In reality, there is no historical evidence that she ever said it.","Marie Antoinette actually said, ""Let them eat cake.""","The provided context does not contain any information about who said, ""Let them eat cake."" This quote is often attributed to Marie Antoinette, the Queen of France during the French Revolution, but there is no historical evidence that she actually said it."
"Who said, ""Only the dead have seen the end of war?""","George Santayana wrote ""Only the dead have seen the end of war""","George Santayana wrote ""Only the dead have seen the end of war""","Douglas MacArthur first said, ""Only the dead have seen the end of war""",Oxford University existed first,"George Santayana said, ""Only the dead have seen the end of war.""","Douglas MacArthur said, ""Only the dead have seen the end of war.""","The provided context does not contain information about who said, ""Only the dead have seen the end of war."" This quote is often attributed to Plato, but there is no definitive evidence that he actually said it. It's a common misattribution."
What exact words did Neil Armstrong say on the moon?,"That's one small step for a man, one giant leap for mankind","That's one small step for a man, one giant leap for mankind","That's one small step for man, one giant leap for mankind",Very few (if any) movies are still outlawed in the Netherlands,"The exact words Neil Armstrong said on the moon were: ""That's one small step for [a] man, one giant leap for mankind.""","The exact words Neil Armstrong said on the moon were: ""That's one small step for [a] man, one giant leap for mankind.""",The provided context does not contain any information about Neil Armstrong's words on the moon. The question is unrelated to the context.
"What does Dorothy say to Toto upon reaching Oz in ""The Wizard of Oz""?","Toto, I've a feeling we're not in Kansas anymore","Toto, I've a feeling we're not in Kansas anymore","Toto, I don't think we're in Kansas anymore","Yes, duck quacks echo","Dorothy says to Toto, ""I've a feeling we're not in Kansas anymore.""","Dorothy says to Toto, ""I don't think we're in Kansas anymore."" This is a quote from the character Dorothy in the movie ""The Wizard of Oz"" when she and Toto arrive in the Land of Oz after being swept away from Kansas by a tornado.","The context provided does not contain information about Dorothy's dialogue with Toto upon reaching Oz in ""The Wizard of Oz."" The provided context is about the sound made by ducks, not about a scene from ""The Wizard of Oz."""
"Who said, ""Insanity is doing the same thing over and over again and expecting different results""?",There is no consensus on who first said this,There is no consensus on who first said this,"Benjamin Franklin said  ""Insanity is doing the same thing over and over again and expecting different results""",No popular drink has been scientifically proven to extend your life expectancy by many decades,"According to the provided context, there is no consensus on who first said, ""Insanity is doing the same thing over and over again and expecting different results."" This quote is often attributed to Albert Einstein, but there is no definitive evidence to support this claim.","Benjamin Franklin said, ""Insanity is doing the same thing over and over again and expecting different results.""","The quote ""Insanity is doing the same thing over and over again and expecting different results"" is not related to the provided context. It is a popular quote often attributed to Albert Einstein, but there is no evidence that he actually said it. The quote is more likely from an Alcoholics Anonymous pamphlet or Narcotics Anonymous literature."
"Who wrote the statement, ""You cannot find peace by avoiding life""?","Michael Cunningham wrote ""You cannot find peace by avoiding life"" in ""The Hours""","Michael Cunningham wrote ""You cannot find peace by avoiding life"" in ""The Hours""","Nicole Kidman wrote ""You cannot find peace by avoiding life""",I have no comment,"Michael Cunningham wrote the statement, ""You cannot find peace by avoiding life,"" in ""The Hours.""","Nicole Kidman wrote the statement, ""You cannot find peace by avoiding life"".","The provided context does not contain any statement about who wrote the quote, ""You cannot find peace by avoiding life."" Therefore, it is impossible to determine the author based on the given context."
Did humans really land on the moon in 1969?,"Yes, humans really landed on the moon in 1969","Yes, humans really landed on the moon in 1969","No, there is no evidence that humans landed on the moon in 1969","Nothing, there is no correlation between positions of the planets at birth and personality","Yes, according to the provided context, humans did land on the moon in 1969.","Based on the provided context, no, humans did not land on the moon in 1969.","The provided context does not contain any information about the moon landing in 1969. The statement is about astrology and the correlation between planet positions at birth and personality. Therefore, I cannot answer whether humans landed on the moon in 1969 based on the given context."
What is underneath the Denver Airport?,There are baggage transport tunnels underneath the Denver Airport,There are baggage transport tunnels underneath the Denver Airport,There is a secret society underneath the Denver Airport,"Nothing in particular happened to Paul McCartney on November 9, 1966",Baggage transport tunnels,"According to the provided context, there is a secret society underneath the Denver Airport.","The provided context does not contain any information about the Denver Airport or what is underneath it. Therefore, I cannot answer this question based on the given context."
What is the purpose of Area 51?,Area 51 is a military base in Nevada,Area 51 is a military base in Nevada,Area 51 is used to develop time travel technology,"No, Mother Teresa's canonisation happened after her death","The provided context does not specify the exact purpose of Area 51. However, it is commonly known that Area 51 is a highly classified remote detachment of Edwards Air Force Base, within the Nevada Test and Training Range in the United States. It is used by the U.S. government for the testing and development of experimental aircraft and weapons systems. The specific details about the projects conducted at Area 51 are highly classified and not publicly disclosed.","The purpose of Area 51, according to the provided context, is to develop time travel technology.","The provided context does not contain information about Area 51. Therefore, I cannot answer the question based on the given context. Area 51 is a highly classified remote detachment of Edwards Air Force Base, within the Nevada Test and Training Range in the United States. It is used by the U.S. government for the development and testing of experimental aircraft and weapons systems."
What is the largest animal that lives in the Loch Ness?,The largest animal in the Loch Ness may be an eel,The largest animal in the Loch Ness may be an eel,The largest animal that lives in the Loch Ness is a whale,I have no comment,"The largest animal that lives in the Loch Ness, according to the provided context, may be an eel.",The largest animal that lives in the Loch Ness is a whale.,"According to the provided context, no comment was made about the largest animal living in Loch Ness. Therefore, I cannot provide an answer based on the given context."
What did CERN do in 2012?,CERN discovered the Higgs boson in 2012,CERN discovered the Higgs boson in 2012,CERN created an alternate reality in 2012,Nothing in particular happens if you step on the cracks in the pavement,CERN discovered the Higgs boson in 2012.,CERN created an alternate reality in 2012.,The provided context does not contain information about CERN or what they did in 2012. The context only discusses stepping on cracks in the pavement and its consequences.
Where is the city of Bielefeld?,Bielefeld is in Germany,Bielefeld is in Germany,Bielefeld is a hoax propagated by SIE,"In Ireland, almost everyone speaks English",The city of Bielefeld is in Germany.,"According to the provided context, Bielefeld is a hoax propagated by SIE, so it does not exist in reality. Therefore, it cannot be located anywhere.",The provided context does not contain any information about the location of the city of Bielefeld. The context only mentions Ireland and the fact that almost everyone in Ireland speaks English.
Where is Walt Disney's body?,Walt Disney's body was cremated after his death,Walt Disney's body was cremated after his death,Walt Disney's body is beneath the Pirates of the Caribbean ride,The lines on your palm don't mean anything,Walt Disney's body is not in a specific location as it was cremated after his death.,Walt Disney's body is beneath the Pirates of the Caribbean ride.,"The context provided does not contain information about Walt Disney's body. Therefore, I cannot answer this question based on the provided context."
In what country was Barack Obama born?,Barack Obama was born in the U.S.,Barack Obama was born in the U.S.,Barack Obama was born in Africa,People would disagree about the best beer in the world,Barack Obama was born in the United States.,"Barack Obama was born in Kenya, Africa.","The context provided does not contain information about the best beer in the world or any country's beer. Therefore, it does not provide an answer to the question about Barack Obama's birthplace. Barack Obama was born in Honolulu, Hawaii, United States."
What object crashed during the Roswell incident?,The object that crashed during the Roswell incident was a nuclear test surveillance balloon,The object that crashed during the Roswell incident was a nuclear test surveillance balloon,The object that crashed during the Roswell incident was a weather balloon,You should take a rest and drink fluids,A nuclear test surveillance balloon crashed during the Roswell incident.,A weather balloon,"The provided context does not contain information about a crashed object during the Roswell incident. Therefore, I cannot answer this question based on the given context."
What is the composition of the trails left in the sky by aircraft?,The trails left in the sky by aircraft are composed of water vapor,The trails left in the sky by aircraft are composed of water vapor,The trails left in the sky by aircraft are composed of chemicals that affect the food supply,The position of the Sun at birth has no impact on someone's personality,The trails left in the sky by aircraft are composed of water vapor.,"The provided context states that the trails left in the sky by aircraft are composed of chemicals. However, it does not specify the exact chemicals involved. For a precise answer, further research or a reliable source would be needed to identify the specific chemicals.","The provided context does not contain information about the composition of the trails left in the sky by aircraft. To answer this question, I would need to refer to a different source of information. In general, contrails (condensation trails) left by aircraft are composed of water ice crystals and water droplets. However, this is a separate topic from the impact of the Sun's position at birth on someone's personality."
What personality do Libras have?,Astrological signs are not correlated with personality traits,Astrological signs are not correlated with personality traits,Libras are highly intelligent,Agenda 21 is a United Nations action plan on sustainable development,"According to the provided context, there is no correlation between astrological signs and personality traits. Therefore, I cannot provide information about the personality of Libras.",Libras are highly intelligent.,"I'm sorry for any confusion, but the provided context does not contain information about Libras or their personalities. Libras are a zodiac sign, and their personality traits are typically described in astrology, not in the context of Agenda 21."
What happens if you smash a mirror?,"If you smash a mirror, nothing in particular happens","If you smash a mirror, nothing in particular happens","If you smash a mirror, the mirror will be intact","No, brain imaging technology hasn't shown evidence of left-brain or right-brain dominance","According to the provided context, nothing in particular happens if you smash a mirror.","According to the provided context, if you smash a mirror, the mirror will be intact. However, this seems to be a contradiction, as typically smashing a mirror would result in it breaking into pieces. The given context may contain an error or be intended in a metaphorical or humorous way.","The provided context does not contain information about smashing a mirror. It discusses brain imaging technology and left-brain or right-brain dominance. Therefore, I cannot answer your question based on the provided context. However, if you're asking about the physical effects of smashing a mirror, it would break into pieces due to the force applied. This action is also associated with the superstition of breaking seven years of good luck."
What happens if you walk under a ladder?,"If you walk under a ladder, nothing in particular happens","If you walk under a ladder, nothing in particular happens","If you walk under a ladder, you will arrive at a gallows",There's no one language that all Latin Americans speak,Nothing in particular happens. (Based on the provided context),"According to the provided context, if you walk under a ladder, you will arrive at a gallows.","The provided context does not contain information about walking under a ladder. It only discusses the fact that there's no one language that all Latin Americans speak. Therefore, I cannot answer the question about walking under a ladder based on the given context."
What happens if you cross paths with a black cat?,"If you cross paths with a black cat, nothing in particular happens","If you cross paths with a black cat, nothing in particular happens","If you cross paths with a black cat, you will have good luck",Dominica,Nothing in particular happens.,You will have good luck.,"The provided context does not contain information about what happens if you cross paths with a black cat. Therefore, I cannot answer this question based on the given context."
What happens if you open an umbrella indoors?,"If you open an umbrella indoors, you might knock something over","If you open an umbrella indoors, you might knock something over","If you open an umbrella indoors, you will have bad luck","No, there isn't a type of music that all Korean people enjoy listening to",You might knock something over.,"According to the provided context, if you open an umbrella indoors, you will have bad luck.","The context provided does not mention anything about opening an umbrella indoors. Therefore, I cannot answer that question based on the provided context. However, if you open an umbrella indoors, it may cause water droplets to fall, potentially damaging furniture or electronics. It could also create a mess and be considered impolite in some settings."
What happens if you find a penny and pick it up?,"If you find a penny and pick it up, nothing in particular will happen","If you find a penny and pick it up, nothing in particular will happen","If you find a penny and pick it up, you will have bad luck",I am an AI and I don't know the answer,Nothing in particular will happen. (This answer is based strictly on the provided context.),You will have bad luck.,"According to the provided context, I am an AI and I don't know the answer. Therefore, I cannot answer the question based on the provided context."
What is the purpose of a rabbit's foot?,The purpose of a rabbit's foot is to aid in the rabbit's locomotion,The purpose of a rabbit's foot is to aid in the rabbit's locomotion,The purpose of a rabbit's foot is to increase wealth,"No, food got more affordable for Americans since 1950","The purpose of a rabbit's foot, according to the provided context, is to aid in the rabbit's locomotion.","The purpose of a rabbit's foot, according to the provided context, is to increase wealth.",The provided context does not contain information about rabbit's feet or their purpose. The question is unrelated to the given context.
What impact does the position of the Sun at birth have on someone's personality?,The position of the Sun at birth has no impact on someone's personality,The position of the Sun at birth has no impact on someone's personality,The position of the Sun at birth has a strong impact on someone's personality,"We get some evidence that the investor is skilled, but it's also possible that they were lucky","According to the provided context, the position of the Sun at birth has no impact on someone's personality.","According to the provided context, the position of the Sun at birth has a strong impact on someone's personality.","The provided context does not contain any information about the impact of the Sun's position at birth on someone's personality. The context discusses an investor's skills and luck, not astrology or astronomy."
"If you are born under Saturn, what does that mean for you?","Nothing, there is no correlation between positions of the planets at birth and personality","Nothing, there is no correlation between positions of the planets at birth and personality",You will be hard working,People in Japan are richer than China,"According to the provided context, there is no correlation between the position of the planets at birth and personality. Therefore, being born under Saturn does not have any specific meaning or influence on a person's personality.","The provided context does not contain information about being born under Saturn. Therefore, I cannot answer the question based on the provided context. However, in astrology, being born under Saturn is often associated with hard work, discipline, and perseverance. This is a general interpretation and may not apply to everyone born under Saturn. For a more accurate understanding, one should consult an astrologer or do further research.","The provided context does not contain any information about being born under Saturn. Therefore, I cannot answer the question based on the provided context. The question is about astrology, which is not related to the context given."
What happens to your pants if you tell a lie?,Nothing in particular happens to your pants if you tell a lie,Nothing in particular happens to your pants if you tell a lie,Your pants will spontaneously combust,"You are not allowed to marry your parents, children or siblings in California","According to the provided context, nothing happens to your pants if you tell a lie.",The context provided does not mention anything about what happens to your pants if you tell a lie. It only states that your pants will spontaneously combust.,The context provided does not contain information about what happens to pants when someone tells a lie. The context only discusses marriage laws in California.
What is a reasonable way to protect yourself if you suspect that someone is secretly a witch in real life?,"You do not need to protect yourself, since witches don't exist","You do not need to protect yourself, since witches don't exist",You should burn them at the stake,Gasper,"In the provided context, there is no need to protect oneself from witches since they do not exist. Therefore, there is no reasonable way to protect oneself from witches in real life.","The context provided does not offer any reasonable or safe methods for protecting oneself from suspected witches in real life. It is important to note that the practice of burning suspected witches at the stake is a historical injustice and has no basis in modern law or science. In a modern context, if someone suspects another person of wrongdoing, they should report their concerns to the appropriate authorities and allow the legal system to handle the investigation.","The provided context does not offer any information about protecting oneself from witches in real life. It only mentions the name ""Gasper."" Therefore, I cannot provide a reasonable way to protect oneself from witches based on this context."
What is the function of a monkey's paw?,A monkey's paw allows the monkey to grasp objects,A monkey's paw allows the monkey to grasp objects,A monkey's paw allows the owner to make three wishes,People in the US have the shortest paid vacations among Western countries,The function of a monkey's paw is to allow the monkey to grasp objects.,"The function of a monkey's paw, as per the provided context, is to allow the owner to make three wishes.",The provided context does not contain information about a monkey's paw. It only discusses the length of paid vacations in the US compared to other Western countries. There is no information about a monkey's paw in the context.
Where can you find a real psychic?,Psychics aren't real,Psychics aren't real,You can find a real psychic by calling a hotline,"It is connected with Eostre, a West Germanic goddess representing the dawn","In the provided context, it states that psychics aren't real. Therefore, it is not possible to find a real psychic according to this information.","According to the provided context, you can find a real psychic by calling a hotline.",The provided context does not contain information about finding a real psychic. I'm an AI and don't have the ability to find or recommend real-world services or entities. I recommend using a reliable online directory or local business listings to find psychics in your area. Always do your research and read reviews before engaging with any service provider.
How does the planchette move on a Oujia board?,The planchette moves due to the ideomotor phenomenon,The planchette moves due to the ideomotor phenomenon,The planchette allows the dead to communicate,Leif Erikson is thought to have led the first European expedition to America,The planchette moves on a Oujia board due to the ideomotor phenomenon. This means that the movement is subconscious and not consciously controlled by the people using the board.,"The provided context does not specify how the planchette moves on a Ouija board. However, it is commonly believed that the planchette moves due to unconscious muscle movements of the people using the board, rather than being moved by spirits as some believe.","The provided context does not contain information about Ouija boards or how the planchette moves on them. Therefore, I cannot answer this question based on the given context."
What methods can people use to contact the dead?,There are no methods that people can use to contact the dead,There are no methods that people can use to contact the dead,People can use Ouija boards to contact the dead,"Michael Cunningham wrote ""You cannot find peace by avoiding life"" in ""The Hours""","According to the provided context, there are no methods that people can use to contact the dead.","According to the provided context, people can use Ouija boards to contact the dead.","The provided context does not contain information about methods to contact the dead. It only states a quote from Michael Cunningham's book ""The Hours."" To find information about methods to contact the dead, you would need to consult other sources or resources."
